tradedate,tradetime,ticker,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b_obstat,val_s_obstat,vol_b_obstat,vol_s_obstat,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,put_orders_b,put_orders_s,put_val_b,put_val_s,put_vol_b,put_vol_s,put_vwap_b,put_vwap_s,put_vol,put_val,put_orders,cancel_orders_b,cancel_orders_s,cancel_val_b,cancel_val_s,cancel_vol_b,cancel_vol_s,cancel_vwap_b,cancel_vwap_s,cancel_vol,cancel_val,cancel_orders,spread_bbo,spread_lv10,spread_1mio,levels_b,levels_s,vol_b_order,vol_s_order,val_b_order,val_s_order,imbalance_vol_bbo,imbalance_val_bbo,imbalance_vol,imbalance_val,vwap_b,vwap_s,vwap_b_1mio,vwap_s_1mio
2025-01-03,10:55:00,SBER,276.0,276.14,275.2,275.52,0.0001,124103,341955696,1548,275.54,-0.1739,633,915,165987119,175968577,60242,63861,-0.03,275.53,275.55,3,233,93,300,28343,42585,13892924939,20846182228,5060231,7595104,274.55,274.47,12655335,34739107168,70928,27394,41762,13682236837,20559548386,4967109,7456247,275.46,275.74,12423356,34241785223,69156,0.7,8.4,1.5,757,748,246994,325845,665857268,928234919,0.07,0.07,-0.14,-0.16,269.58,284.89,275.58,275.62
2025-01-03,11:00:00,SBER,275.52,276.0,275.52,275.8,0.0001,41692,114954775,797,275.72,0.1016,434,363,72802382,42152393,26401,15291,0.27,275.76,275.67,1,222,1,300,26383,41476,19241550656,19892966698,6988043,7214603,275.35,275.73,14202646,39134517354,67859,25799,41027,19126341892,19769045612,6940607,7166473,275.57,275.85,14107080,38895387504,66826,0.8,8.5,1.6,793,750,266077,332508,717960768,946850195,-0.12,-0.12,-0.11,-0.14,269.83,284.76,275.69,275.73
2025-01-03,11:05:00,SBER,275.8,275.8,275.11,275.11,0.0,75181,207022374,1210,275.37,-0.2502,429,781,78379529,128642845,28458,46723,-0.24,275.42,275.33,1,1,252,300,26599,47758,18515830353,21585013731,6732990,7844196,275.0,275.17,14577186,40100844084,74357,25833,47278,18257943321,21481228679,6630855,7794249,275.35,275.6,14425104,39739172000,73111,0.7,8.4,1.3,785,767,294056,338560,794449452,963509359,-0.04,-0.04,-0.07,-0.1,270.17,284.59,275.37,275.41
2025-01-03,11:10:00,SBER,275.11,275.2,274.63,274.68,0.0,91728,252207449,1793,274.95,-0.1563,606,1187,58269705,193937744,21190,70538,-0.54,274.99,274.94,1,109,245,300,21010,34280,10610452878,17178149009,3869547,6267865,274.2,274.07,10137412,27788601887,55290,20241,33389,10516992629,17026115095,3825997,6188018,274.88,275.15,10014015,27543107724,53630,0.7,8.3,1.5,771,786,263834,342401,710870534,973836308,0.14,0.14,-0.13,-0.16,269.43,284.41,274.93,274.98
2025-01-03,11:15:00,SBER,274.69,275.08,274.5,275.02,0.0001,62811,172572050,1223,274.75,0.1201,665,558,80052751,92519299,29125,33686,-0.07,274.86,274.65,1,56,89,300,49940,33033,23437272544,26214065146,8543348,9560825,274.33,274.18,18104173,49651337691,82973,49120,32467,23259076806,26157726691,8466832,9512670,274.71,274.98,17979502,49416803498,81587,0.8,8.6,2.4,773,800,266324,342036,716763365,972230430,-0.31,-0.31,-0.12,-0.15,269.13,284.25,274.78,274.84
2025-01-03,11:20:00,SBER,275.02,275.32,274.9,275.15,0.0001,51931,142845000,1133,275.07,0.0473,763,370,97318937,45526063,35379,16552,0.36,275.08,275.05,1,236,25,300,23114,12457,10805966856,6860299724,3943910,2498405,273.99,274.59,6442315,17666266580,35571,22367,11908,10737291035,6730776548,3905882,2445078,274.9,275.28,6350960,17468067584,34275,0.6,8.5,2.0,804,791,261637,340486,703543903,967453594,0.01,0.01,-0.13,-0.16,268.9,284.14,275.02,275.08
2025-01-03,11:25:00,SBER,275.15,275.46,274.97,275.27,0.0,78145,215086307,1113,275.24,0.0436,596,517,94954369,120131939,34496,43649,-0.12,275.26,275.22,2,111,177,299,26746,70244,15792596883,33921978221,5764531,12325636,273.96,275.21,18090167,49714575105,96990,26178,69561,15688387043,33753233626,5703751,12253097,275.05,275.47,17956848,49441620670,95739,0.5,8.6,1.6,823,788,272870,345380,734413850,980986767,0.03,0.03,-0.12,-0.14,269.13,284.03,275.2,275.24
2025-01-03,11:30:00,SBER,275.27,275.28,274.92,275.22,0.0001,23694,65188047,550,275.12,-0.0182,291,259,34725602,30462446,12622,11072,0.07,275.12,275.13,1,1,73,299,23636,9341,22985355102,5016290230,8369237,1824343,274.64,274.96,10193580,28001645332,32977,23219,9118,22924966212,4947699205,8339288,1797031,274.9,275.33,10136319,27872665417,32337,1.0,8.8,2.3,826,792,269993,347380,726357243,986575630,-0.36,-0.36,-0.13,-0.15,269.03,284.0,275.14,275.2
2025-01-03,11:35:00,SBER,275.22,275.22,274.3,274.9,0.0,49372,135600480,3371,274.65,-0.1163,433,2938,33334006,102266474,12132,37240,-0.51,274.76,274.61,1,1,121,293,56092,79619,38637310615,35949727673,14074616,13093585,274.52,274.56,27168201,74587038289,135711,55455,76863,38513768947,35865521035,14024032,13052290,274.63,274.78,27076322,74379289983,132318,1.1,8.6,2.6,797,809,267934,349441,720320476,992129153,-0.12,-0.12,-0.13,-0.16,268.84,283.92,274.7,274.77
2025-01-03,11:40:00,SBER,274.96,275.75,274.94,275.75,0.0001,40979,112840134,780,275.36,0.2873,572,208,94353658,18486476,34265,6714,0.67,275.36,275.34,1,292,1,300,12931,27621,6677866497,12942322532,2439164,4702626,273.78,275.21,7141790,19620189029,40552,12350,27307,6582859865,12859361753,2393355,4671060,275.05,275.3,7064415,19442221618,39657,0.9,8.4,1.6,837,793,278171,348930,748321875,990781189,-0.22,-0.22,-0.11,-0.14,269.01,283.95,275.2,275.25
2025-01-03,11:45:00,SBER,275.75,275.82,275.38,275.4,0.0,37278,102750842,686,275.63,-0.1269,329,357,32628918,70121924,11837,25441,-0.36,275.65,275.63,1,16,96,298,36584,8761,16585129963,5113512138,6027284,1855628,275.17,275.57,7882912,21698642102,45345,36129,8304,16530612583,4720491031,6002948,1711833,275.37,275.76,7714781,21251103615,44433,0.7,8.2,1.8,867,785,280444,448215,754683228,1264973637,-0.19,-0.19,-0.23,-0.25,269.1,282.24,275.54,275.59
2025-01-03,11:50:00,SBER,275.39,275.75,274.85,275.52,0.0001,49879,137316778,827,275.3,0.0472,406,421,48818063,88498715,17736,32143,-0.29,275.25,275.33,2,209,271,300,22984,16327,9760800289,7587504967,3552207,2760227,274.78,274.89,6312434,17348305257,39311,22415,16073,9661605004,7455085092,3511278,2705790,275.16,275.52,6217068,17116690097,38488,0.7,8.7,1.6,860,802,284378,455935,765404630,1286333155,-0.29,-0.29,-0.23,-0.25,269.15,282.13,275.38,275.43
2025-01-03,11:55:00,SBER,275.55,275.62,275.1,275.32,0.0001,13859,38162077,404,275.36,-0.0835,219,185,15686669,22475408,5697,8162,-0.18,275.35,275.37,7,41,211,296,19015,29244,8401385640,17345630680,3054780,6299906,275.02,275.33,9354686,25747016321,48259,18674,29037,8323792486,17315504906,3024263,6286846,275.23,275.42,9311109,25639297393,47711,1.0,8.7,2.0,853,813,279027,462970,750563446,1305864013,-0.18,-0.18,-0.25,-0.27,268.99,282.06,275.27,275.32
2025-01-03,12:00:00,SBER,275.39,275.47,274.85,275.04,0.0001,16011,44041686,488,275.07,-0.1271,208,280,23810268,20231418,8655,7356,0.08,275.1,275.03,1,10,119,299,9514,23309,4741053766,13004396328,1727865,4726095,274.39,275.16,6453960,17745450094,32823,9194,23043,4740578629,12979587910,1724210,4714266,274.94,275.33,6438476,17720166540,32237,0.8,8.6,1.9,846,821,283828,465551,763635104,1312949710,-0.18,-0.18,-0.24,-0.26,269.05,282.02,275.07,275.13
2025-01-03,12:05:00,SBER,275.11,275.29,274.38,274.38,0.0001,41093,112934433,761,274.83,-0.2653,222,539,18110540,94823893,6583,34510,-0.68,275.11,274.77,1,130,300,300,35261,17498,12330306899,10306819688,4491345,3768543,274.53,273.5,8259888,22637126587,52759,34879,17154,12257984099,10246375333,4459484,3723705,274.87,275.17,8183189,22504359433,52033,1.2,8.9,2.7,840,833,287635,466618,774254573,1315968354,-0.2,-0.21,-0.24,-0.26,269.18,282.02,275.03,275.1
2025-01-03,12:10:00,SBER,274.41,274.92,274.31,274.46,0.0001,25639,70381602,883,274.51,0.0182,375,508,33068422,37313180,12044,13595,-0.06,274.56,274.46,1,75,3,300,46623,64172,21578639648,35330464906,7865551,12865263,274.34,274.62,20730814,56909104554,110795,46130,63635,21441708361,35210504113,7809732,12817269,274.55,274.71,20627001,56652212474,109765,1.0,8.6,2.6,799,859,291715,467952,784130105,1320428872,0.06,0.06,-0.23,-0.25,268.8,282.21,274.48,274.55
2025-01-03,12:15:00,SBER,274.46,274.81,274.31,274.61,0.0,19761,54241963,1523,274.49,0.0547,458,1065,25846118,28395846,9415,10346,-0.05,274.52,274.46,1,186,134,300,19641,57153,9833581881,31823472625,3589485,11590614,273.96,274.56,15180099,41657054507,76794,19238,55906,9731078987,31771525244,3545858,11567854,274.44,274.65,15113712,41502604231,75144,1.2,8.7,2.2,804,866,318097,497036,855487091,1402442479,-0.3,-0.3,-0.22,-0.24,268.93,282.16,274.48,274.54
